ano_mes,empresa,setor_rh,headcount
2024-01,CENTRO ELO,Administrativo,4
2024-02,CENTRO ELO,Administrativo,4
2024-03,CENTRO ELO,Administrativo,4
2024-04,CENTRO ELO,Administrativo,4
2024-05,CENTRO ELO,Administrativo,5
2024-06,CENTRO ELO,Administrativo,5
2024-07,CENTRO ELO,Administrativo,5
2024-08,CENTRO ELO,Administrativo,10
2024-09,CENTRO ELO,Administrativo,12
2024-10,CENTRO ELO,Administrativo,12
2024-11,CENTRO ELO,Administrativo,12
2024-12,CENTRO ELO,Administrativo,11
2025-01,CENTRO ELO,Administrativo,11
2025-02,CENTRO ELO,Administrativo,14
2025-03,CENTRO ELO,Administrativo,14
2025-04,CENTRO ELO,Administrativo,11
2025-05,CENTRO ELO,Administrativo,12
2025-06,CENTRO ELO,Administrativo,13
2025-07,CENTRO ELO,Administrativo,14
2025-08,CENTRO ELO,Administrativo,12
2025-09,CENTRO ELO,Administrativo,12
2025-10,CENTRO ELO,Administrativo,12
2025-11,CENTRO ELO,Administrativo,12
2025-12,CENTRO ELO,Administrativo,10
2026-01,CENTRO ELO,Administrativo,10
2026-02,CENTRO ELO,Administrativo,9
2019-02,CENTRO ELO,Apoio Pedagógico,6
2019-03,CENTRO ELO,Apoio Pedagógico,6
2019-04,CENTRO ELO,Apoio Pedagógico,8
2019-05,CENTRO ELO,Apoio Pedagógico,8
2019-06,CENTRO ELO,Apoio Pedagógico,8
2019-07,CENTRO ELO,Apoio Pedagógico,8
2019-08,CENTRO ELO,Apoio Pedagógico,10
2019-09,CENTRO ELO,Apoio Pedagógico,10
2019-10,CENTRO ELO,Apoio Pedagógico,10
2019-11,CENTRO ELO,Apoio Pedagógico,11
2019-12,CENTRO ELO,Apoio Pedagógico,11
2020-01,CENTRO ELO,Apoio Pedagógico,11
2020-02,CENTRO ELO,Apoio Pedagógico,11
2020-03,CENTRO ELO,Apoio Pedagógico,11
2020-04,CENTRO ELO,Apoio Pedagógico,11
2020-05,CENTRO ELO,Apoio Pedagógico,11
2020-06,CENTRO ELO,Apoio Pedagógico,11
2020-07,CENTRO ELO,Apoio Pedagógico,11
2020-08,CENTRO ELO,Apoio Pedagógico,11
2020-09,CENTRO ELO,Apoio Pedagógico,11
2020-10,CENTRO ELO,Apoio Pedagógico,11
2020-11,CENTRO ELO,Apoio Pedagógico,11
2020-12,CENTRO ELO,Apoio Pedagógico,11
2021-01,CENTRO ELO,Apoio Pedagógico,11
2021-02,CENTRO ELO,Apoio Pedagógico,11
2021-03,CENTRO ELO,Apoio Pedagógico,11
2021-04,CENTRO ELO,Apoio Pedagógico,11
